ID,City,Type_of_restaurant,Restaurant_rating,Dine_in_peak_flag,Machine_breakdown_flag,Festival,Weatherconditions,Road_traffic_density,Restaurant_load,Number_of_delivery_partners_nearby,multiple_deliveries,Distance_km,Dynamic_Surge_Multiplier,Order_Date,Time_Orderd,Time_Order_picked,Kitchen_Prep_Time (min),Time_taken (min),hour_of_day,day_of_week,is_weekend,travel_time_total,first_mile_frac,first_mile_time,last_mile_time
DEL10017,Chennai,Dine-in,4.15,0,0,0,Rainy,Medium,11,5,0,1.07,1.3,2025-03-30,02:24:00,03:01:00,22,40,2,6,1,18,0.4,7.2,10.799999999999999
DEL10018,Delhi,Cloud Kitchen,4.36,0,0,0,Rainy,Medium,10,7,2,6.13,1.3,2025-01-21,15:19:00,16:16:00,34,86,15,1,0,52,0.4,20.8,31.2
DEL10019,Pune,Dine-in,4.1,1,0,0,Cloudy,Medium,10,23,1,9.84,1.2,2025-02-20,21:07:00,22:21:00,59,95,21,3,0,36,0.4,14.4,21.599999999999998
DEL10020,Pune,Dine-in,3.57,0,0,0,Rainy,High,8,2,0,14.92,2.2,2025-03-05,16:16:00,17:03:00,29,108,16,2,0,79,0.4,31.6,47.4
DEL10021,Chennai,Cloud Kitchen,4.16,0,0,0,Cloudy,Medium,12,19,2,5.44,1.0,2025-03-26,22:32:00,23:23:00,36,70,22,2,0,34,0.4,13.600000000000001,20.4
DEL10022,Hyderabad,Dine-in,4.23,0,0,0,Sunny,Low,9,11,1,5.52,1.0,2025-03-07,09:01:00,09:57:00,42,73,9,4,0,31,0.4,12.4,18.599999999999998
DEL10023,Kolkata,Home Kitchen,3.93,0,0,0,Cloudy,Low,9,21,0,1.99,1.0,2025-02-14,19:00:00,19:57:00,52,62,19,4,0,10,0.4,4.0,6.0
DEL10024,Kolkata,Cloud Kitchen,4.39,0,0,0,Cloudy,Low,18,17,0,8.52,1.3,2025-03-11,14:53:00,15:27:00,29,51,14,1,0,22,0.4,8.8,13.2
DEL10025,Mumbai,Dine-in,3.71,0,0,0,Stormy,High,7,13,0,2.94,1.7,2025-02-16,02:54:00,03:32:00,31,52,2,6,1,21,0.4,8.4,12.6
DEL10026,Pune,Dine-in,4.63,0,0,0,Cloudy,Low,12,16,1,4.5,1.0,2025-02-27,00:46:00,01:21:00,25,50,0,3,0,25,0.4,10.0,15.0
DEL10027,Delhi,Dine-in,4.03,0,0,0,Cloudy,Low,10,9,0,1.2,1.0,2025-02-20,04:21:00,05:02:00,30,43,4,3,0,13,0.4,5.2,7.8
DEL10028,Kolkata,Cloud Kitchen,4.1,0,0,0,Stormy,Jam,12,3,0,13.41,2.2,2025-01-10,21:04:00,22:01:00,40,139,21,4,0,99,0.4,39.6,59.4
DEL10029,Pune,Cloud Kitchen,3.79,0,0,0,Sunny,Jam,13,5,1,10.48,1.4,2025-02-01,19:23:00,20:10:00,27,103,19,5,1,76,0.4,30.400000000000002,45.6
DEL10030,Mumbai,Cloud Kitchen,4.18,0,0,0,Rainy,Jam,8,20,0,1.97,1.7,2025-02-12,11:28:00,11:52:00,19,36,11,2,0,17,0.4,6.800000000000001,10.2
DEL10031,Chennai,Dine-in,4.21,1,0,0,Sunny,High,8,7,2,9.81,1.6,2025-03-09,20:49:00,22:00:00,43,107,20,6,1,64,0.4,25.6,38.4
DEL10032,Mumbai,Dine-in,4.26,0,0,0,Stormy,Low,9,10,0,11.87,1.3,2025-02-05,17:48:00,18:23:00,25,76,17,2,0,51,0.4,20.400000000000002,30.599999999999998
DEL10033,Kolkata,Dine-in,3.92,1,0,0,Stormy,Jam,9,20,0,6.45,1.9,2025-03-03,19:47:00,20:58:00,61,126,19,0,0,65,0.4,26.0,39.0
DEL10034,Chennai,Cloud Kitchen,4.46,0,0,0,Sunny,Jam,5,18,1,5.1,1.4,2025-01-16,20:04:00,20:35:00,21,66,20,3,0,45,0.4,18.0,27.0
DEL10035,Delhi,Dine-in,4.37,0,0,0,Cloudy,Low,14,14,0,8.64,1.0,2025-01-05,02:22:00,03:02:00,34,55,2,6,1,21,0.4,8.4,12.6
DEL10036,Bangalore,Cloud Kitchen,4.23,0,0,0,Cloudy,Low,14,17,1,8.19,1.0,2025-01-27,01:04:00,01:40:00,26,54,1,0,0,28,0.4,11.200000000000001,16.8
DEL10037,Bangalore,Cloud Kitchen,4.36,0,0,0,Cloudy,Low,10,12,0,8.82,1.0,2025-03-11,18:43:00,19:29:00,38,61,18,1,0,23,0.4,9.200000000000001,13.799999999999999
DEL10038,Kolkata,Cloud Kitchen,4.07,0,0,0,Cloudy,Low,14,16,2,9.17,1.0,2025-02-08,00:02:00,00:48:00,31,72,0,5,1,41,0.4,16.400000000000002,24.599999999999998
DEL10039,Mumbai,Dine-in,4.35,1,0,0,Rainy,High,6,2,1,1.61,2.4,2025-02-14,14:20:00,15:32:00,44,85,14,4,0,41,0.4,16.400000000000002,24.599999999999998
DEL10040,Hyderabad,Cloud Kitchen,4.07,0,0,0,Sunny,Medium,8,22,0,1.64,1.0,2025-01-03,15:22:00,15:57:00,30,38,15,4,0,8,0.4,3.2,4.8
DEL10041,Bangalore,Dine-in,3.53,0,0,0,Sunny,Medium,12,7,1,10.77,1.0,2025-02-10,03:26:00,04:33:00,49,97,3,0,0,48,0.4,19.200000000000003,28.799999999999997
DEL10042,Bangalore,Dine-in,4.31,0,0,0,Stormy,Low,3,2,0,9.59,1.8,2025-03-23,18:04:00,18:41:00,19,64,18,6,1,45,0.4,18.0,27.0
DEL10043,Chennai,Cloud Kitchen,4.45,0,0,0,Rainy,Low,4,17,0,11.49,1.3,2025-02-18,10:20:00,10:41:00,16,49,10,1,0,33,0.4,13.200000000000001,19.8
DEL10044,Pune,Dine-in,4.15,0,0,0,Sunny,Low,13,13,0,11.5,1.0,2025-03-22,04:30:00,05:21:00,44,71,4,5,1,27,0.4,10.8,16.2
DEL10045,Kolkata,Home Kitchen,4.2,0,0,0,Sunny,High,8,7,1,3.9,1.4,2025-02-20,12:12:00,12:57:00,27,65,12,3,0,38,0.4,15.200000000000001,22.8
DEL10046,Bangalore,Cloud Kitchen,3.93,0,0,0,Stormy,High,13,20,2,14.55,1.7,2025-01-12,00:53:00,01:50:00,42,124,0,6,1,82,0.4,32.800000000000004,49.199999999999996
DEL10047,Kolkata,Dine-in,4.35,0,0,0,Sunny,Medium,12,19,0,9.51,1.0,2025-03-05,01:37:00,02:09:00,27,48,1,2,0,21,0.4,8.4,12.6
DEL10048,Kolkata,Dine-in,4.46,0,0,0,Sunny,Medium,4,6,0,12.15,1.0,2025-02-20,16:04:00,16:42:00,24,62,16,3,0,38,0.4,15.200000000000001,22.8
DEL10049,Delhi,Home Kitchen,3.77,0,0,0,Rainy,Low,15,20,0,2.06,1.3,2025-02-12,15:10:00,16:13:00,58,70,15,2,0,12,0.4,4.800000000000001,7.199999999999999
DEL10050,Chennai,Home Kitchen,4.12,0,0,0,Cloudy,High,9,18,0,5.87,1.4,2025-01-05,17:27:00,18:18:00,46,68,17,6,1,22,0.4,8.8,13.2
DEL10051,Mumbai,Cloud Kitchen,3.89,0,0,0,Stormy,Medium,15,2,0,12.19,1.8,2025-01-27,08:25:00,09:13:00,30,90,8,0,0,60,0.4,24.0,36.0
DEL10052,Bangalore,Dine-in,4.81,1,0,0,Sunny,Medium,10,23,1,6.19,1.2,2025-02-21,14:46:00,15:43:00,42,76,14,4,0,34,0.4,13.600000000000001,20.4
DEL10053,Kolkata,Dine-in,4.06,1,0,0,Sunny,Medium,7,14,1,8.45,1.2,2025-01-23,13:42:00,14:30:00,32,66,13,3,0,34,0.4,13.600000000000001,20.4
DEL10054,Bangalore,Dine-in,4.61,0,0,0,Cloudy,Low,10,6,1,5.58,1.0,2025-01-17,06:21:00,07:18:00,38,71,6,4,0,33,0.4,13.200000000000001,19.8
DEL10055,Pune,Cloud Kitchen,3.84,0,0,0,Cloudy,Medium,11,10,1,2.79,1.0,2025-02-09,16:43:00,17:31:00,33,58,16,6,1,25,0.4,10.0,15.0
DEL10056,Chennai,Dine-in,4.04,1,0,0,Cloudy,Jam,5,7,1,4.15,1.6,2025-02-02,20:21:00,21:16:00,32,77,20,6,1,45,0.4,18.0,27.0
DEL10057,Chennai,Dine-in,4.15,0,0,0,Sunny,Medium,10,19,1,14.96,1.0,2025-02-09,04:35:00,05:13:00,28,78,4,6,1,50,0.4,20.0,30.0
DEL10058,Chennai,Cloud Kitchen,3.93,0,0,1,Sunny,High,18,1,1,11.77,2.5,2025-01-26,18:44:00,19:47:00,39,101,18,6,1,62,0.4,24.8,37.199999999999996
DEL10059,Bangalore,Dine-in,4.04,0,0,0,Stormy,Jam,9,11,2,8.09,1.7,2025-03-05,05:36:00,06:26:00,31,108,5,2,0,77,0.4,30.8,46.199999999999996
DEL10060,Pune,Cloud Kitchen,4.08,0,0,0,Sunny,Jam,13,16,0,2.23,1.4,2025-01-13,07:01:00,07:32:00,26,41,7,0,0,15,0.4,6.0,9.0
DEL10061,Mumbai,Cloud Kitchen,4.13,0,0,0,Sunny,High,14,9,0,3.54,1.4,2025-03-16,08:33:00,09:16:00,32,57,8,6,1,25,0.4,10.0,15.0
DEL10062,Delhi,Dine-in,4.3,0,0,0,Stormy,Medium,8,9,0,3.61,1.3,2025-01-30,02:20:00,03:10:00,39,59,2,3,0,20,0.4,8.0,12.0
DEL10063,Chennai,Dine-in,4.7,0,0,1,Sunny,Medium,17,7,1,8.56,1.8,2025-01-14,18:37:00,19:24:00,29,66,18,1,0,37,0.4,14.8,22.2
DEL10064,Delhi,Cloud Kitchen,4.37,0,0,0,Sunny,Medium,14,8,2,5.66,1.0,2025-02-20,05:05:00,05:57:00,30,71,5,3,0,41,0.4,16.400000000000002,24.599999999999998
DEL10065,Delhi,Dine-in,3.99,0,0,0,Rainy,Low,10,14,0,11.9,1.3,2025-02-26,00:36:00,01:13:00,31,78,0,2,0,47,0.4,18.8,28.2
DEL10066,Kolkata,Cloud Kitchen,3.79,0,0,0,Sunny,Jam,13,23,1,8.03,1.4,2025-03-29,19:55:00,20:58:00,53,101,19,5,1,48,0.4,19.200000000000003,28.799999999999997
DEL10067,Bangalore,Dine-in,3.57,0,0,1,Rainy,Low,25,4,1,5.84,2.5,2025-01-26,10:26:00,11:50:00,63,105,10,6,1,42,0.4,16.8,25.2
DEL10068,Kolkata,Cloud Kitchen,3.84,0,0,0,Stormy,Low,13,18,1,11.17,1.3,2025-03-30,00:46:00,01:32:00,36,82,0,6,1,46,0.4,18.400000000000002,27.599999999999998
DEL10069,Pune,Dine-in,3.8,1,0,0,Cloudy,Low,14,23,1,11.31,1.2,2025-01-09,21:50:00,22:42:00,37,83,21,3,0,46,0.4,18.400000000000002,27.599999999999998
DEL10070,Mumbai,Dine-in,4.28,1,0,0,Rainy,Medium,5,7,0,11.42,1.5,2025-01-21,14:08:00,15:04:00,38,84,14,1,0,46,0.4,18.400000000000002,27.599999999999998
DEL10071,Hyderabad,Cloud Kitchen,4.02,0,0,0,Sunny,High,6,5,0,7.33,1.4,2025-03-23,01:26:00,02:02:00,21,57,1,6,1,36,0.4,14.4,21.599999999999998
DEL10072,Delhi,Cloud Kitchen,4.12,0,0,0,Sunny,Low,10,21,0,4.08,1.0,2025-03-04,10:21:00,10:51:00,25,40,10,1,0,15,0.4,6.0,9.0
DEL10073,Kolkata,Dine-in,4.07,0,0,0,Cloudy,Low,11,23,0,3.94,1.0,2025-01-13,22:50:00,23:37:00,42,54,22,0,0,12,0.4,4.800000000000001,7.199999999999999
DEL10074,Kolkata,Cloud Kitchen,4.58,0,0,0,Rainy,Low,8,11,0,7.74,1.3,2025-03-07,21:27:00,21:56:00,20,51,21,4,0,31,0.4,12.4,18.599999999999998
DEL10075,Bangalore,Cloud Kitchen,4.47,0,0,0,Stormy,High,7,16,1,14.71,1.7,2025-02-03,00:22:00,00:54:00,22,106,0,0,0,84,0.4,33.6,50.4
DEL10076,Kolkata,Dine-in,4.03,0,0,0,Rainy,Low,9,17,0,4.33,1.3,2025-02-20,00:27:00,01:12:00,40,56,0,3,0,16,0.4,6.4,9.6
DEL10077,Kolkata,Dine-in,3.6,0,0,0,Sunny,Low,13,6,0,3.91,1.0,2025-03-15,06:32:00,07:33:00,47,69,6,5,1,22,0.4,8.8,13.2
DEL10078,Mumbai,Cloud Kitchen,3.91,0,0,0,Stormy,Medium,13,18,0,5.83,1.3,2025-01-12,19:04:00,19:51:00,42,61,19,6,1,19,0.4,7.6000000000000005,11.4
DEL10079,Mumbai,Cloud Kitchen,3.7,0,0,0,Sunny,Medium,10,15,1,8.58,1.0,2025-03-22,13:08:00,13:48:00,30,59,13,5,1,29,0.4,11.600000000000001,17.4
DEL10080,Kolkata,Cloud Kitchen,4.06,0,0,0,Cloudy,Medium,12,12,0,7.97,1.0,2025-03-26,09:35:00,10:10:00,27,54,9,2,0,27,0.4,10.8,16.2
DEL10081,Delhi,Home Kitchen,3.55,0,0,0,Sunny,Jam,3,5,0,13.8,1.4,2025-02-22,06:09:00,07:00:00,36,110,6,5,1,74,0.4,29.6,44.4
DEL10082,Pune,Home Kitchen,4.03,0,0,0,Sunny,Low,12,19,2,1.96,1.0,2025-02-05,18:25:00,19:13:00,33,60,18,2,0,27,0.4,10.8,16.2
DEL10083,Delhi,Dine-in,3.93,0,0,0,Sunny,Medium,11,13,0,4.01,1.0,2025-01-22,04:55:00,05:31:00,29,46,4,2,0,17,0.4,6.800000000000001,10.2
DEL10084,Bangalore,Cloud Kitchen,3.82,0,0,0,Cloudy,Low,4,10,1,10.87,1.0,2025-01-17,00:24:00,01:23:00,44,89,0,4,0,45,0.4,18.0,27.0
DEL10085,Hyderabad,Cloud Kitchen,4.17,0,0,0,Stormy,Medium,11,17,1,12.3,1.3,2025-01-19,04:43:00,05:24:00,31,87,4,6,1,56,0.4,22.400000000000002,33.6
DEL10086,Chennai,Dine-in,4.02,0,0,0,Sunny,Medium,10,11,0,10.05,1.0,2025-01-25,17:24:00,18:16:00,43,76,17,5,1,33,0.4,13.200000000000001,19.8
DEL10087,Delhi,Dine-in,4.3,0,0,0,Cloudy,Low,9,21,1,6.9,1.0,2025-02-17,07:49:00,08:31:00,32,60,7,0,0,28,0.4,11.200000000000001,16.8
DEL10088,Pune,Cloud Kitchen,4.17,0,0,0,Sunny,Medium,12,21,1,2.69,1.0,2025-01-24,02:43:00,03:28:00,35,54,2,4,0,19,0.4,7.6000000000000005,11.4
DEL10089,Pune,Cloud Kitchen,4.4,0,0,0,Sunny,Jam,9,18,0,8.28,1.4,2025-03-27,12:17:00,12:47:00,25,80,12,3,0,55,0.4,22.0,33.0
DEL10090,Chennai,Home Kitchen,4.88,0,0,0,Cloudy,Medium,9,24,1,1.53,1.0,2025-03-03,16:28:00,17:05:00,27,45,16,0,0,18,0.4,7.2,10.799999999999999
DEL10091,Kolkata,Cloud Kitchen,3.8,0,0,0,Sunny,Medium,2,19,0,5.96,1.0,2025-02-18,02:44:00,03:18:00,29,48,2,1,0,19,0.4,7.6000000000000005,11.4
DEL10092,Pune,Dine-in,4.05,0,0,0,Sunny,Medium,17,6,0,4.06,1.3,2025-02-18,23:03:00,00:00:00,43,64,23,1,0,21,0.4,8.4,12.6
DEL10093,Pune,Dine-in,3.96,0,0,0,Stormy,High,6,18,2,6.62,1.7,2025-02-21,03:58:00,04:48:00,35,85,3,4,0,50,0.4,20.0,30.0
DEL10094,Chennai,Cloud Kitchen,4.13,0,0,0,Cloudy,Medium,10,22,0,9.82,1.0,2025-01-06,04:04:00,04:29:00,20,45,4,0,0,25,0.4,10.0,15.0
DEL10095,Bangalore,Dine-in,3.89,0,0,0,Rainy,Medium,11,12,2,12.42,1.3,2025-01-17,23:02:00,23:47:00,27,83,23,4,0,56,0.4,22.400000000000002,33.6
DEL10096,Kolkata,Cloud Kitchen,4.19,0,0,0,Sunny,Low,10,10,0,14.38,1.0,2025-03-08,08:02:00,08:48:00,36,75,8,5,1,39,0.4,15.600000000000001,23.4
DEL10097,Pune,Dine-in,4.37,0,0,0,Sunny,Medium,12,17,1,8.46,1.0,2025-01-05,15:25:00,16:13:00,38,72,15,6,1,34,0.4,13.600000000000001,20.4
DEL10098,Pune,Cloud Kitchen,4.35,0,0,0,Cloudy,Medium,12,11,2,10.22,1.0,2025-03-29,18:15:00,19:01:00,27,72,18,5,1,45,0.4,18.0,27.0
DEL10099,Mumbai,Dine-in,3.99,0,0,0,Sunny,High,14,6,0,12.56,1.4,2025-02-14,18:30:00,19:18:00,34,84,18,4,0,50,0.4,20.0,30.0
DEL10100,Kolkata,Dine-in,4.33,0,0,0,Sunny,Jam,13,14,0,9.85,1.4,2025-02-15,16:40:00,17:17:00,31,96,16,5,1,65,0.4,26.0,39.0
DEL10101,Hyderabad,Cloud Kitchen,3.93,0,0,0,Sunny,High,17,21,1,11.55,1.7,2025-03-04,14:29:00,15:20:00,41,94,14,1,0,53,0.4,21.200000000000003,31.799999999999997
DEL10102,Mumbai,Dine-in,3.92,1,0,0,Cloudy,Jam,11,5,0,2.05,1.6,2025-03-06,21:25:00,22:41:00,56,88,21,3,0,32,0.4,12.8,19.2
DEL10103,Delhi,Home Kitchen,3.59,0,0,0,Rainy,Medium,9,16,1,10.57,1.3,2025-03-20,18:10:00,18:57:00,37,87,18,3,0,50,0.4,20.0,30.0
DEL10104,Pune,Dine-in,3.88,0,0,0,Stormy,Medium,9,16,1,12.76,1.3,2025-01-29,10:51:00,11:35:00,34,79,10,2,0,45,0.4,18.0,27.0
DEL10105,Chennai,Home Kitchen,3.75,0,0,0,Sunny,High,6,19,0,11.01,1.4,2025-02-04,16:24:00,17:11:00,42,91,16,1,0,49,0.4,19.6,29.4
DEL10106,Delhi,Dine-in,4.16,1,0,0,Cloudy,Medium,10,16,0,9.77,1.2,2025-02-19,19:06:00,20:13:00,57,87,19,2,0,30,0.4,12.0,18.0
DEL10107,Hyderabad,Cloud Kitchen,4.14,0,0,0,Sunny,Low,13,21,0,7.88,1.0,2025-01-09,05:47:00,06:26:00,34,55,5,3,0,21,0.4,8.4,12.6
DEL10108,Pune,Cloud Kitchen,4.37,0,0,0,Sunny,Medium,12,21,0,14.65,1.0,2025-01-18,17:45:00,18:20:00,30,60,17,5,1,30,0.4,12.0,18.0
DEL10109,Chennai,Cloud Kitchen,3.92,0,0,0,Sunny,Medium,16,5,2,7.75,1.3,2025-02-15,14:15:00,15:05:00,25,74,14,5,1,49,0.4,19.6,29.4
DEL10110,Hyderabad,Cloud Kitchen,3.8,0,0,0,Rainy,Medium,7,9,1,2.1,1.3,2025-01-30,00:12:00,01:06:00,38,65,0,3,0,27,0.4,10.8,16.2
DEL10111,Chennai,Cloud Kitchen,4.12,0,0,0,Rainy,Medium,14,16,1,14.11,1.3,2025-03-08,05:08:00,06:00:00,42,96,5,5,1,54,0.4,21.6,32.4
DEL10112,Bangalore,Home Kitchen,4.51,0,0,0,Sunny,Medium,2,15,1,8.74,1.0,2025-01-07,10:19:00,11:04:00,35,66,10,1,0,31,0.4,12.4,18.599999999999998
DEL10113,Pune,Dine-in,4.0,0,0,0,Cloudy,Medium,8,16,1,3.23,1.0,2025-01-12,22:11:00,23:09:00,48,68,22,6,1,20,0.4,8.0,12.0
DEL10114,Hyderabad,Cloud Kitchen,3.95,0,0,0,Sunny,Low,9,5,1,5.65,1.0,2025-01-18,18:21:00,19:25:00,44,79,18,5,1,35,0.4,14.0,21.0
DEL10115,Chennai,Dine-in,4.22,1,0,0,Sunny,Low,13,21,1,6.82,1.2,2025-02-18,20:30:00,21:47:00,62,95,20,1,0,33,0.4,13.200000000000001,19.8
DEL10116,Mumbai,Home Kitchen,3.61,0,0,0,Cloudy,Jam,15,22,1,7.81,1.4,2025-02-05,20:33:00,21:34:00,51,112,20,2,0,61,0.4,24.400000000000002,36.6
DEL10117,Pune,Dine-in,4.6,0,0,0,Sunny,Medium,9,9,0,11.86,1.0,2025-01-15,00:34:00,01:09:00,24,59,0,2,0,35,0.4,14.0,21.0
DEL10118,Mumbai,Cloud Kitchen,4.56,0,0,0,Sunny,Low,5,7,1,6.67,1.0,2025-02-10,21:59:00,22:36:00,19,54,21,0,0,35,0.4,14.0,21.0
DEL10119,Delhi,Dine-in,4.09,0,0,0,Sunny,High,4,14,1,2.83,1.4,2025-03-06,07:11:00,07:55:00,33,57,7,3,0,24,0.4,9.600000000000001,14.399999999999999
DEL10120,Delhi,Dine-in,3.71,0,0,0,Sunny,High,9,21,1,9.23,1.4,2025-01-01,04:19:00,05:13:00,44,84,4,2,0,40,0.4,16.0,24.0
DEL10121,Delhi,Cloud Kitchen,3.95,0,0,0,Sunny,Jam,6,7,0,8.81,1.4,2025-02-25,14:14:00,14:47:00,20,71,14,1,0,51,0.4,20.400000000000002,30.599999999999998
DEL10122,Kolkata,Cloud Kitchen,4.37,0,0,0,Sunny,High,10,10,0,8.1,1.4,2025-02-28,04:32:00,05:13:00,31,73,4,4,0,42,0.4,16.8,25.2
DEL10123,Mumbai,Cloud Kitchen,3.88,0,0,0,Sunny,Low,12,9,2,14.16,1.0,2025-02-14,19:15:00,20:07:00,31,84,19,4,0,53,0.4,21.200000000000003,31.799999999999997
DEL10124,Hyderabad,Dine-in,4.15,0,0,0,Rainy,Low,11,15,2,12.73,1.3,2025-02-16,01:00:00,01:50:00,35,102,1,6,1,67,0.4,26.8,40.199999999999996
DEL10125,Chennai,Dine-in,4.59,0,0,0,Rainy,Low,9,14,0,10.22,1.3,2025-01-01,18:30:00,19:05:00,29,64,18,2,0,35,0.4,14.0,21.0
DEL10126,Bangalore,Dine-in,4.46,0,0,0,Stormy,Medium,9,16,1,6.66,1.3,2025-03-16,03:33:00,04:10:00,27,60,3,6,1,33,0.4,13.200000000000001,19.8
DEL10127,Hyderabad,Home Kitchen,4.76,0,0,0,Sunny,Medium,9,7,0,6.33,1.0,2025-03-12,14:20:00,15:07:00,34,62,14,2,0,28,0.4,11.200000000000001,16.8
DEL10128,Mumbai,Cloud Kitchen,4.39,0,0,0,Rainy,High,10,6,0,7.49,1.7,2025-03-19,09:01:00,09:45:00,30,87,9,2,0,57,0.4,22.8,34.199999999999996
DEL10129,Kolkata,Cloud Kitchen,4.41,0,0,0,Stormy,High,12,17,1,7.67,1.7,2025-02-06,14:43:00,15:21:00,28,79,14,3,0,51,0.4,20.400000000000002,30.599999999999998
DEL10130,Pune,Dine-in,4.07,0,0,0,Sunny,Medium,6,18,0,6.32,1.0,2025-01-15,03:10:00,03:57:00,42,60,3,2,0,18,0.4,7.2,10.799999999999999
DEL10131,Bangalore,Dine-in,4.55,0,0,0,Rainy,Low,9,8,1,5.36,1.3,2025-01-28,02:07:00,02:57:00,33,69,2,1,0,36,0.4,14.4,21.599999999999998
DEL10132,Chennai,Home Kitchen,4.38,0,0,0,Sunny,Low,15,5,0,3.58,1.0,2025-03-15,06:12:00,07:02:00,35,56,6,5,1,21,0.4,8.4,12.6
DEL10133,Chennai,Dine-in,4.46,0,0,0,Cloudy,Medium,7,14,2,14.32,1.0,2025-02-14,09:46:00,10:33:00,31,89,9,4,0,58,0.4,23.200000000000003,34.8
DEL10134,Kolkata,Dine-in,4.42,0,0,0,Sunny,High,13,9,0,4.58,1.4,2025-03-21,16:25:00,17:19:00,43,69,16,4,0,26,0.4,10.4,15.6
DEL10135,Delhi,Home Kitchen,4.11,0,0,0,Rainy,Low,10,14,1,2.34,1.3,2025-02-02,22:20:00,23:14:00,43,65,22,6,1,22,0.4,8.8,13.2
DEL10136,Mumbai,Dine-in,3.91,0,0,0,Cloudy,Medium,12,23,1,9.36,1.0,2025-01-25,01:34:00,02:33:00,49,82,1,5,1,33,0.4,13.200000000000001,19.8
DEL10137,Bangalore,Dine-in,3.93,0,0,0,Sunny,Medium,9,6,1,2.11,1.0,2025-02-11,06:44:00,07:46:00,43,70,6,1,0,27,0.4,10.8,16.2
DEL10138,Kolkata,Cloud Kitchen,4.24,0,0,0,Sunny,Medium,8,6,0,13.32,1.0,2025-02-13,20:07:00,20:57:00,36,77,20,3,0,41,0.4,16.400000000000002,24.599999999999998
